Fecha,PCR+
2020-02-25,2
2020-02-26,8
2020-02-27,13
2020-02-28,26
2020-02-29,37
2020-03-01,63
2020-03-02,110
2020-03-03,161
2020-03-04,229
2020-03-05,355
2020-03-06,567
2020-03-07,813
2020-03-08,1101
2020-03-09,1643
2020-03-10,2399
2020-03-11,3226
2020-03-12,4076
2020-03-13,5105
2020-03-14,6059
2020-03-15,6905
2020-03-16,8220
2020-03-17,10247
2020-03-18,12079
2020-03-19,14205
2020-03-20,16628
2020-03-21,18356
2020-03-22,19902
2020-03-23,22717
2020-03-24,25730
2020-03-25,28827
2020-03-26,32337
2020-03-27,34842
2020-03-28,35927
2020-03-29,36831
2020-03-30,39497
2020-03-31,41436
2020-04-01,43352
2020-04-02,45305
2020-04-03,47204
2020-04-04,48155
2020-04-05,48737
2020-04-06,50490
2020-04-07,52085
2020-04-08,53690
2020-04-09,54796
2020-04-10,55804
2020-04-11,56428
2020-04-12,56836
2020-04-13,58055
2020-04-14,59421
2020-04-15,60576
2020-04-16,61643
2020-04-17,62726
2020-04-18,63339
2020-04-19,63611
2020-04-20,64489
2020-04-21,65423
2020-04-22,66428
2020-04-23,67197
2020-04-24,68159
2020-04-25,68571
2020-04-26,68796
2020-04-27,69791
2020-04-28,70748
2020-04-29,71649
2020-04-30,72358
2020-05-01,72666
2020-05-02,72867
2020-05-03,73069
2020-05-04,73856
2020-05-05,74647
2020-05-06,75384
2020-05-07,76015
2020-05-08,76653
2020-05-09,76840
2020-05-10,76977
2020-05-11,77647
2020-05-12,78277
2020-05-13,78936
2020-05-14,79650
2020-05-15,80075
2020-05-16,80184
2020-05-17,80319
2020-05-18,80836
2020-05-19,81415
2020-05-20,82043
2020-05-21,82494
2020-05-22,83056
2020-05-23,83223
2020-05-24,83331
2020-05-25,83741
2020-05-26,84371
2020-05-27,84973
2020-05-28,85560
2020-05-29,86130
2020-05-30,86334
2020-05-31,86494
2020-06-01,86960
2020-06-02,87571
2020-06-03,88191
2020-06-04,88720
2020-06-05,89282
2020-06-06,89528
2020-06-07,89617
2020-06-08,90018
2020-06-09,90461
2020-06-10,90898
2020-06-11,91376
2020-06-12,91914
2020-06-13,92080
2020-06-14,92143
2020-06-15,92591
2020-06-16,93019
2020-06-17,93442
2020-06-18,93928
2020-06-19,94468
2020-06-20,94626
2020-06-21,94722
2020-06-22,94967
2020-06-23,95387
2020-06-24,95825
2020-06-25,96238
2020-06-26,96693
2020-06-27,96852
2020-06-28,96925
2020-06-29,97175
2020-06-30,97588
2020-07-01,97920
2020-07-02,98243
2020-07-03,98651
2020-07-04,98819
2020-07-05,98896
2020-07-06,99108
2020-07-07,99479
2020-07-08,99798
2020-07-09,100108
2020-07-10,100577
2020-07-11,100720
2020-07-12,100804
2020-07-13,101055
2020-07-14,101510
2020-07-15,101893
2020-07-16,102211
2020-07-17,102724
2020-07-18,102887
2020-07-19,102984
2020-07-20,103289
2020-07-21,103781
2020-07-22,104239
2020-07-23,104743
2020-07-24,105526
2020-07-25,105790
2020-07-26,105949
2020-07-27,106397
2020-07-28,107246
2020-07-29,108058
2020-07-30,109040
2020-07-31,110440
2020-08-01,110855
2020-08-02,111092
2020-08-03,111817
2020-08-04,113330
2020-08-05,114704
2020-08-06,116237
2020-08-07,118342
2020-08-08,118975
2020-08-09,119372
2020-08-10,120295
2020-08-11,122806
2020-08-12,125038
2020-08-13,127524
2020-08-14,130877
2020-08-15,131811
2020-08-16,132348
2020-08-17,133660
2020-08-18,137223
2020-08-19,140609
2020-08-20,143869
2020-08-21,148522
2020-08-22,149852
2020-08-23,150538
2020-08-24,152004
2020-08-25,156227
2020-08-26,159892
2020-08-27,163433
2020-08-28,168148
2020-08-29,169349
2020-08-30,170328
2020-08-31,171944
2020-09-01,176167
2020-09-02,179986
2020-09-03,183753
2020-09-04,188915
2020-09-05,190589
2020-09-06,191660
2020-09-07,193551
2020-09-08,198483
2020-09-09,203381
2020-09-10,208029
2020-09-11,214277
2020-09-12,216339
2020-09-13,217794
2020-09-14,220168
2020-09-15,226164
2020-09-16,231698
2020-09-17,237065
2020-09-18,244290
2020-09-19,246047
2020-09-20,247143
2020-09-21,249410
2020-09-22,254557
2020-09-23,259278
2020-09-24,263659
2020-09-25,269073
2020-09-26,270494
2020-09-27,271395
2020-09-28,273185
2020-09-29,277401
2020-09-30,280958
2020-10-01,284026
2020-10-02,287805
2020-10-03,288771
2020-10-04,289235
2020-10-05,291416
2020-10-06,294588
2020-10-07,297505
2020-10-08,300304
2020-10-09,303276
2020-10-10,303924
2020-10-11,304478
2020-10-12,305018
2020-10-13,307702
2020-10-14,310523
2020-10-15,313107
2020-10-16,315899
2020-10-17,316563
2020-10-18,317069
2020-10-19,319401
2020-10-20,322029
2020-10-21,324487
2020-10-22,326746
2020-10-23,329214
2020-10-24,329801
2020-10-25,330323
2020-10-26,332430
2020-10-27,334686
2020-10-28,336715
2020-10-29,338757
2020-10-30,340968
2020-10-31,341505
2020-11-01,341981
2020-11-02,342537
2020-11-03,344646
2020-11-04,346689
2020-11-05,348507
2020-11-06,350510
2020-11-07,351053
2020-11-08,351469
2020-11-09,352461
2020-11-10,354190
2020-11-11,355833
2020-11-12,357354
2020-11-13,358914
2020-11-14,359306
2020-11-15,359625
2020-11-16,360853
2020-11-17,362210
2020-11-18,363465
2020-11-19,364541
2020-11-20,365729
2020-11-21,366036
2020-11-22,366230
2020-11-23,367234
2020-11-24,368274
2020-11-25,369308
2020-11-26,370263
2020-11-27,371383
2020-11-28,371677
2020-11-29,371849
2020-11-30,372790
2020-12-01,373893
2020-12-02,375005
2020-12-03,375995
2020-12-04,377010
2020-12-05,377293
2020-12-06,377543
2020-12-07,377902
2020-12-08,378233
2020-12-09,379553
2020-12-10,381066
2020-12-11,382888
2020-12-12,383303
2020-12-13,383614
2020-12-14,384920
2020-12-15,386443
2020-12-16,388008
2020-12-17,389371
2020-12-18,390891
2020-12-19,391328
2020-12-20,391676
2020-12-21,393163
2020-12-22,394813
2020-12-23,397632
2020-12-24,398560
2020-12-25,399048
2020-12-26,399886
2020-12-27,400663
2020-12-28,403925
2020-12-29,408044
2020-12-30,412757
2020-12-31,414076
2021-01-01,414760
2021-01-02,416013
2021-01-03,417107
2021-01-04,421775
2021-01-05,429083
2021-01-06,430565
2021-01-07,435152
2021-01-08,441379
2021-01-09,441852
2021-01-10,442350
2021-01-11,446766
2021-01-12,451334
2021-01-13,456816
2021-01-14,462586
2021-01-15,469122
2021-01-16,470711
2021-01-17,471896
2021-01-18,477633
2021-01-19,485352
2021-01-20,491725
2021-01-21,497604
2021-01-22,504671
2021-01-23,506127
2021-01-24,507059
2021-01-25,511308
