informe,fecha,ccaa,hospitalizados,hospitalizados7,uci,uci7,fallecidos,fallecidos7
116,2020-05-25,AN,6131,22,750,3,1334,1
116,2020-05-25,AR,2632,17,267,1,826,1
116,2020-05-25,AS,1090,3,121,0,288,0
116,2020-05-25,IB,1140,7,165,0,211,7
116,2020-05-25,CN,943,5,179,1,150,1
116,2020-05-25,CB,1032,2,79,0,202,0
116,2020-05-25,CL,8546,25,547,0,1913,5
116,2020-05-25,CM,8964,22,626,2,2788,2
116,2020-05-25,CT,28831,1,2953,0,5575,3
116,2020-05-25,VC,5398,23,718,1,1331,6
116,2020-05-25,EX,1758,13,110,0,506,0
116,2020-05-25,GA,2916,6,328,0,607,9
116,2020-05-25,MD,41872,94,3536,3,8686,3
116,2020-05-25,MC,667,0,112,0,139,0
116,2020-05-25,NC,2033,1,135,0,490,0
116,2020-05-25,PV,6950,9,574,0,1424,1
116,2020-05-25,RI,1480,5,91,0,358,9
116,2020-05-25,CE,12,1,4,0,4,2
116,2020-05-25,ML,44,0,3,0,2,0
117,2020-05-26,AN,6246,25,770,4,1404,0
117,2020-05-26,AR,2634,11,267,2,826,0
117,2020-05-26,AS,1097,2,122,0,310,0
117,2020-05-26,IB,1163,7,165,0,209,0
117,2020-05-26,CN,946,5,179,1,150,0
117,2020-05-26,CB,1031,1,79,0,202,0
117,2020-05-26,CL,8553,24,547,0,1922,4
117,2020-05-26,CM,9225,22,645,3,2945,2
117,2020-05-26,CT,29090,37,2976,0,5583,9
117,2020-05-26,VC,5403,14,719,1,1332,2
117,2020-05-26,EX,1761,11,110,0,507,2
117,2020-05-26,GA,2917,3,328,0,607,1
117,2020-05-26,MD,41913,78,3538,1,8691,6
117,2020-05-26,MC,674,1,112,0,148,1
117,2020-05-26,NC,2034,0,135,0,490,0
117,2020-05-26,PV,6955,10,574,0,1424,0
117,2020-05-26,RI,1483,4,91,0,360,8
117,2020-05-26,CE,13,1,4,0,5,0
117,2020-05-26,ML,44,0,3,0,2,0
118,2020-05-27,AN,6245,20,770,2,1404,0
118,2020-05-27,AR,2642,19,267,2,826,1
118,2020-05-27,AS,1099,4,122,0,310,0
118,2020-05-27,IB,1163,6,165,0,209,0
118,2020-05-27,CN,946,3,179,0,151,1
118,2020-05-27,CB,1042,3,79,0,202,0
118,2020-05-27,CL,8563,27,547,0,1922,4
118,2020-05-27,CM,9251,22,647,3,2945,2
118,2020-05-27,CT,29137,54,2977,1,5583,9
118,2020-05-27,VC,5739,10,719,1,1332,1
118,2020-05-27,EX,1765,9,110,0,507,3
118,2020-05-27,GA,2917,2,329,1,608,6
118,2020-05-27,MD,41945,88,3544,3,8691,6
118,2020-05-27,MC,674,1,112,0,148,1
118,2020-05-27,NC,2034,0,135,0,490,0
118,2020-05-27,PV,6956,10,574,0,1424,0
118,2020-05-27,RI,1483,3,91,0,360,5
