FECHA,CASOS_PCR,Hospitalizados,UCI,Fallecidos,Recuperados,uci_dia,hospitalizados_dia
2020-02-21,1,,,,,,
2020-02-22,1,,,,,,
2020-02-23,1,,,,,,
2020-02-24,1,,,,,,
2020-02-25,1,,,,,,
2020-02-26,2,,,,,,
2020-02-27,6,,,,,,
2020-02-28,10,,,,,,
2020-02-29,20,,,,,,
2020-03-01,27,,,,,,
2020-03-02,53,,,,,,
2020-03-03,96,,,,,,
2020-03-04,142,,,,,,
2020-03-05,199,,,,,,
2020-03-06,311,,,,,,
2020-03-07,515,,,,,,
2020-03-08,738,,,,,,
2020-03-09,1003,,61,16,,53,
2020-03-10,1508,,120,21,109,77,
2020-03-11,2213,571,184,31,157,102,
2020-03-12,2943,868,238,56,157,135,
2020-03-13,3732,1290,307,81,157,180,1304
2020-03-14,4672,1699,370,86,474,180,1518
2020-03-15,5576,2207,469,213,474,253,2337
2020-03-16,6392,2747,566,213,474,253,2337
2020-03-17,7653,3314,702,355,951,340,3710
2020-03-18,9601,3934,850,390,951,491,3778
2020-03-19,11356,4874,1011,498,941,590,5168
2020-03-20,13399,6189,1196,628,1186,678,6338
2020-03-21,15722,7535,1401,804,1542,767,7388
2020-03-22,17397,9063,1532,1021,1899,834,8441
2020-03-23,18900,10771,1664,1263,2063,942,9561
2020-03-24,21569,12053,1813,1535,2291,1050,10443
2020-03-25,24475,13297,1962,1825,3031,1150,11153
2020-03-26,27422,15024,2117,2090,3882,1221,12440
2020-03-27,30796,17093,2272,2412,5044,1312,13580
2020-03-28,33162,19098,2369,2757,6326,1404,14211
2020-03-29,34189,21311,2423,3082,7491,1429,14454
2020-03-30,35061,23125,2464,3392,8301,1460,14917
2020-03-31,37607,23913,2554,3603,9330,1514,15140
2020-04-01,39409,24553,2627,3865,10827,1514,15227
2020-04-02,41199,26112,2694,4175,12400,1528,15227
2020-04-03,43038,27325,2764,4483,13850,1506,15050
2020-04-04,44779,28420,2821,4723,15362,1498,14741
2020-04-05,45671,29542,2854,4941,16543,1499,14551
2020-04-06,46197,30490,2879,5136,17322,1510,14501
2020-04-07,47763,31109,2958,5371,18410,1494,13950
2020-04-08,49160,31554,3002,5586,19836,1450,13289
2020-04-09,50580,32487,3038,5800,21121,1433,12853
2020-04-10,51535,33278,3061,5972,22414,1399,12432
2020-04-11,52400,33986,3091,6084,23663,1376,11894
2020-04-12,52944,34545,3105,6278,24683,1332,11424
2020-04-13,53285,35053,3122,6423,25385,1327,11233
2020-04-14,54287,35400,3153,6568,26247,1299,10753
2020-04-15,55398,35688,3180,6724,27433,1244,10116
2020-04-16,56304,36251,3203,6877,28491,1206,9653
2020-04-17,57157,36851,3214,7007,29436,1154,9141
2020-04-18,57978,37248,3228,7132,30475,1094,8597
2020-04-19,58466,37626,3238,7239,31313,1123,8291
2020-04-20,58673,37970,3248,7351,31762,1111,8191
2020-04-21,59300,38161,3278,7460,32277,1076,7930
2020-04-22,59950,38328,3283,,,,
2020-04-23,60657,38620,3288,,,,
2020-04-24,61099,38837,3305,,,,
2020-04-25,61619,39064,3307,,,,
2020-04-26,61855,39217,3308,,,,
2020-04-27,61985,39350,,,,,
2020-04-28,62579,39423,,,,,
2020-04-29,63079,,,,,,
2020-04-30,63454,,,,,,
2020-05-01,63747,,,,,,
2020-05-02,63928,,,,,,
2020-05-03,64045,,,,,,
2020-05-04,64157,,,,,,
2020-05-05,64489,,,,,,
2020-05-06,64820,,,,,,
2020-05-07,65093,,,,,,
2020-05-08,65333,,,,,,
2020-05-09,65555,,,,,,
2020-05-10,65641,,,,,,
2020-05-11,65693,,,,,,
2020-05-12,65887,,,,,,
2020-05-13,66106,,,,,,
2020-05-14,66315,,,,,,
2020-05-15,66523,,,,,,
2020-05-16,66639,,,,,,
2020-05-17,66663,,,,,,
2020-05-18,66702,,,,,,
2020-05-19,66828,,,,,,
2020-05-20,66967,,,,,,
