Fecha,PCR+
2020-02-25,2
2020-02-26,6
2020-02-27,10
2020-02-28,21
2020-02-29,28
2020-03-01,54
2020-03-02,99
2020-03-03,145
2020-03-04,203
2020-03-05,316
2020-03-06,519
2020-03-07,744
2020-03-08,1016
2020-03-09,1524
2020-03-10,2235
2020-03-11,2976
2020-03-12,3780
2020-03-13,4746
2020-03-14,5655
2020-03-15,6474
2020-03-16,7758
2020-03-17,9733
2020-03-18,11525
2020-03-19,13601
2020-03-20,15985
2020-03-21,17687
2020-03-22,19206
2020-03-23,21970
2020-03-24,24930
2020-03-25,27969
2020-03-26,31420
2020-03-27,33865
2020-03-28,34911
2020-03-29,35801
2020-03-30,38406
2020-03-31,40279
2020-04-01,42126
2020-04-02,44000
2020-04-03,45804
2020-04-04,46724
2020-04-05,47267
2020-04-06,48915
2020-04-07,50385
2020-04-08,51879
2020-04-09,52866
2020-04-10,53779
2020-04-11,54344
2020-04-12,54711
2020-04-13,55812
2020-04-14,57011
2020-04-15,57987
2020-04-16,58898
2020-04-17,59800
2020-04-18,60314
2020-04-19,60531
2020-04-20,61250
2020-04-21,61956
2020-04-22,62753
2020-04-23,63277
2020-04-24,63900
2020-04-25,64166
2020-04-26,64308
2020-04-27,64985
2020-04-28,65610
2020-04-29,66119
2020-04-30,66524
2020-05-01,66714
2020-05-02,66845
2020-05-03,66981
2020-05-04,67479
2020-05-05,67929
2020-05-06,68351
2020-05-07,68726
2020-05-08,69059
2020-05-09,69157
2020-05-10,69225
2020-05-11,69570
2020-05-12,69871
2020-05-13,70164
2020-05-14,70472
2020-05-15,70677
2020-05-16,70709
2020-05-17,70760
2020-05-18,71001
2020-05-19,71257
2020-05-20,71502
2020-05-21,71681
2020-05-22,71875
2020-05-23,71923
2020-05-24,71945
2020-05-25,72079
2020-05-26,72283
2020-05-27,72454
2020-05-28,72632
2020-05-29,72815
2020-05-30,72877
2020-05-31,72950
2020-06-01,73090
2020-06-02,73277
2020-06-03,73511
2020-06-04,73702
2020-06-05,73858
2020-06-06,73957
2020-06-07,73980
2020-06-08,74093
2020-06-09,74223
2020-06-10,74351
2020-06-11,74489
2020-06-12,74654
2020-06-13,74683
2020-06-14,74701
2020-06-15,74856
2020-06-16,74961
2020-06-17,75082
2020-06-18,75228
2020-06-19,75416
2020-06-20,75454
2020-06-21,75478
2020-06-22,75517
2020-06-23,75601
2020-06-24,75682
2020-06-25,75789
2020-06-26,75884
2020-06-27,75910
2020-06-28,75921
2020-06-29,75980
2020-06-30,76046
2020-07-01,76094
2020-07-02,76154
2020-07-03,76218
2020-07-04,76238
2020-07-05,76255
2020-07-06,76286
2020-07-07,76363
2020-07-08,76404
2020-07-09,76451
2020-07-10,76524
2020-07-11,76547
2020-07-12,76562
2020-07-13,76612
2020-07-14,76696
2020-07-15,76776
2020-07-16,76861
2020-07-17,77042
2020-07-18,77094
2020-07-19,77115
2020-07-20,77183
2020-07-21,77351
2020-07-22,77446
